id,created_at,text,truncated,source,in_reply_to_status_id,in_reply_to_user_id,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,possibly_sensitive_appealable,lang,user_id,user_name,user_screen_name,user_location,user_description,user_protected,user_followers_count,user_friends_count,user_listed_count,user_created_at,user_favourites_count,user_utc_offset,user_time_zone,user_geo_enabled,user_verified,user_statuses_count,user_lang,user_contributors_enabled,user_is_translator,user_is_translation_enabled,user_default_profile,user_following,user_follow_request_sent,user_translator_type,user_withheld_in_countries
1511389109213929475,Tue Apr 05 17:03:38 +0000 2022,RT @DssAgovc: It's our hope that the US Department of Homeland Security will act in the interest of #Ambazonians fleeing persecution from #…,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,False,7.0,0.0,False,False,,,en,1.3565862964672143e+18,Dr Julius Nyih,JNyiawung,,VP of the AGovC,False,36.0,82.0,0.0,Tue Feb 02 12:53:32 +0000 2021,90.0,,,False,False,92.0,,False,False,False,True,False,False,none,[]
1511480138948612102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1511451863081754627,Tue Apr 05 21:13:00 +0000 2022,"RT @ua_parliament: A six-year-old boy, Sasha, who the whole of #Ukraine was looking for, had been shot dead by the occupiers.
The parents h…",False,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,False,5860.0,0.0,False,False,,,en,3776460917.0,Marek Coufal,MarcCoufal,,,False,563.0,1559.0,3.0,Sat Sep 26 00:34:20 +0000 2015,170625.0,,,False,False,136946.0,,False,False,False,True,False,False,none,[]
1511240307253428224,Tue Apr 05 07:12:21 +0000 2022,"Nuclear war is always the threat. When the tyrant decides its doomsday then are we always to go ""you win""? Keeping… https://t.co/OkOt547vsK",True,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,False,0.0,0.0,False,False,False,False,en,302543344.0,Korin,corinthians1312,herefordshire,"Interests: all things Japanese( books, films), literature, computers. Being contrarian. The truth isn't out there. No, it's not? Genuine ugliness is rare. I am.",False,816.0,1738.0,48.0,Sat May 21 11:00:10 +0000 2011,3877.0,,,True,False,40955.0,,False,False,False,False,False,False,none,[]
1511202658119565316,Tue Apr 05 04:42:45 +0000 2022,RT @KingsleySmuggy: 🇺🇦 More than 200 Ukrainian marines have surrendered in Mariupol following the Russian offensive against the Azovstal pl…,False,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,False,4.0,0.0,False,False,,,en,21995733.0,su,skiennen,,,False,5394.0,2957.0,114.0,Thu Feb 26 10:11:30 +0000 2009,127808.0,,,True,False,20107.0,,False,False,False,False,False,False,regular,[]
1511239286796046340,Tue Apr 05 07:08:18 +0000 2022,RT @STF2109: Τόσο δημοκράτης ο Ζελένσκι μετά τα 11 κόμματα που απαγόρευσε (και δεν είναι φιλορωσικά- αυτά ήταν προ πολλού). τώρα απαγορεύει…,False,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,True,3.0,0.0,False,False,,,el,406555837.0,argonaut,STF2109,Greece,"We will need writers who can remember freedom. Poets, visionaries - the realists of a larger reality.. (Ursula Le Guin)",False,782.0,466.0,7.0,Sun Nov 06 21:32:01 +0000 2011,63901.0,,,False,False,44445.0,,False,False,False,False,False,False,none,[]
1511306662514245633,Tue Apr 05 11:36:01 +0000 2022,"RT @asverit: в проект бесплатной помощи беженцам и эмигрантам, оказавшийся в незнакомой среде, очень нужны люди, которые могут преподавать…",False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,False,117.0,0.0,False,False,,,ru,1.36092811601374e+18,на ресте // тв война // против войны,paired_life,,"- бывают триггерные посты но стараюсь ставить тв
- изначально саппорт
- читаю проблематиков не значит поддерживаю их точки зрения",False,717.0,2743.0,9.0,Sun Feb 14 12:28:07 +0000 2021,45535.0,,,False,False,11387.0,,False,False,False,True,False,False,none,[]
1511313565071851523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1511349500291563531,Tue Apr 05 14:26:15 +0000 2022,RT @PLenMexico: #Ayudamos a 🇺🇦Desde el 24 de febrero han llegado a #Polonia 🇵🇱 2.5 millones de refugiados de #Ucrania (ayer: 18.5 mil).✋🛂#S…,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,True,3.0,0.0,False,False,,,es,1.1950440773031404e+18,Miguel Socrates Falcao,FalcaoSocrates,,"Paz y Amor
UNIRSE MÉXICO HACIA EL FUTURO
POR NUESTRAS FAMILIAS
¡NI UN VOTO A TODO LO QUE TENGA QUE VER CON ESTE #CORRUPTODEPALACIO!!!!!!!!!",False,457.0,1095.0,2.0,Thu Nov 14 18:22:22 +0000 2019,83715.0,,,False,False,140332.0,,False,False,False,True,False,False,none,[]
1511421462162386945,Tue Apr 05 19:12:12 +0000 2022,"RT @lesiavasylenko: Whatever peace guarantees #Ukraine is promised on paper, they mean nothing unless Russia demilitarized so it cannot att…",False,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,False,470.0,0.0,False,False,,,en,7.077646873544704e+17,Kris Randall Ballew,krballew00,,,False,5.0,144.0,0.0,Thu Mar 10 03:07:05 +0000 2016,3111.0,,,False,False,1695.0,,False,False,False,True,False,False,none,[]
