id,text,lang,user_id,user_name,user_location,user_geo_enabled,user_lang,place,date
1522014222925844482,,,,,,,,,2022-05-05
1522312209384321025,RT @pmakela1: T-80BVs and MT-LBs wrecked. That's one Russian company pretty much out of action.,en,1.2986823861972296e+18,Colin Ellison,"Texas, USA",False,,,2022-05-05
1522267296437313536,"RT @nexta_tv: The #UK has imposed sanctions against the international mining and metallurgical corporation Evraz, owned by #Russian owners.…",en,1.2315800524390973e+18,Gustavo Setti,"Trentino-South Tyrol, Italy.",True,,,2022-05-05
1522184448908967938,"Gosloto 5/36 results: 24,6,32,11,12,3 #gosloto #russia #5x36 Analysis and Stats https://t.co/4h4uSMfLSt",en,8.600448061013606e+17,LottoClues.com,"Las Vegas, NV",False,,,2022-05-05
1522267790639517696,"RT @nicolasputsch: 🔥 La bombe de Michel-Edouard Leclerc sur Cnews : «L’inflation actuelle n’est pas liée à la guerre en Ukraine, c’est de l…",fr,2901213879.0,Chris BEAUREPAIRE,"Midi-Pyrénées, France",False,,,2022-05-05
1522179456194027520,"RT @Blue_Sauron: Before and After - Russian IFV completely obliterated by the Ukrainian 53rd Mechanized Brigade.
#Russia #Ukraine https://t…",en,1.3749910527053046e+18,Occam Razor,,False,,,2022-05-05
1522242837278248961,RT @Gewandhaus: Jede Hilfe für die Menschen in der #Ukraine ist wichtig! Deshalb: 6.5. Solidaritätskonzert mit @Gewandhaus @andris_nelsons…,de,9.278272691621724e+17,Hiroaki Shimagaya,Japan,True,,,2022-05-05
1522209327104155648,"Sanctions against Russia can be lifted only after agreement with the Ukrainian side, - German Chancellor Olaf Schol… https://t.co/XyuwyyCAIJ",en,1.4972624914365194e+18,Ukraine War SitRep 🇺🇦,Ukraine,False,,,2022-05-05
1522106095690518528,"RT @ServiceSsu: Війна – важке випробування. Але ми обов’язково його пройдемо. Витримаємо стільки битв, скільки треба. Будемо бити там, де в…",uk,2290841323.0,Лис Чернобурый,,False,,,2022-05-05
1522039578747625472,RT @UAWeapons: #Ukraine: An attempted Russian counter attack against areas recently retaken by Ukrainian forces was foiled in #Kharkiv Obla…,en,322772806.0,Danilo Acevedo,"Puerto Colombia, Colombia",True,,,2022-05-05
1522156406589169664,Оросын эрх баригчид үнэхээр мулгуу юмуу эсвэл санаатайгаар орос орноо нураах зорилготой ийм үйлдэл хийгээд бна уу? 🥺 https://t.co/IAMfzuN8x9,ru,1.2159782481667686e+18,Uranbaatar,Mongolia,False,,,2022-05-05
1522063809938341889,"RT @Wintzer: キーフの住人がシェルターから出てキーのついた車を見つけ、家族を乗せて脱出。車にあった番号に「申し訳ない、あなたの車を盗んだ」と謝罪の電話をかけた。
「よかった！自分は4台ある車の1台で避難して、残りの車をガソリン満タンで町に置いてきたんだ。脱出に使った…",ja,146522842.0,あやめ,奈落の底,False,,,2022-05-05
1522325225576308740,RT @iquitsmokingcig: Russia reportedly loses most advanced tank during fighting in Ukraine  #StandWithUkraine  🇺🇦 🇺🇦 🇺🇦 https://t.co/6CW3GI…,en,1.24659468544068e+18,Cello Girl,,False,,,2022-05-05
1522294204499644416,Why Did Russia Invade Ukraine in 2022? The Historical and Contemporary Causes of the War with speaker Dr. Chris Bur… https://t.co/RNcu9DSRTA,en,76247060.0,SACPA,Southern Alberta,False,,,2022-05-05
1522096643444822016,"RT @Mediavenir: 📈🇫🇷 FLASH - ""L’inflation actuelle n’est pas liée à la guerre en #Ukraine, c’est de la spéculation"", affirme Michel-Édouard…",fr,1.3836855179512136e+18,Gandalf,,False,,,2022-05-05
1522178698660749314,"@igeusllc @AFP Agreed. #NooseForPutin #PutinWarCriminal 

@GOP @SenateGOP @SenateDems @SenJoniErnst @POTUS… https://t.co/UW8BgXvadE",en,1.4922558075132723e+18,Gator1,"Florida, USA",False,,,2022-05-05
1522178231029407746,Russia expels seven Danish diplomats - #russia #moscow https://t.co/zgVpW5sfW5,ca,1.4527305057875517e+18,IdeallyaNews,Internet,False,,,2022-05-05
